movieId,title,genres,year,clean_titles,clean_genres,movies_text,count,mean_rating
19,Ace Ventura: When Nature Calls (1995),Comedy,1995,ace ventura: when nature calls,comedy,ace ventura: when nature calls comedy,88,2.727272727272727
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,1995,money train,action comedy crime drama thriller,money train action comedy crime drama thriller,15,2.5
21,Get Shorty (1995),Comedy|Crime|Thriller,1995,get shorty,comedy crime thriller,get shorty comedy crime thriller,89,3.49438202247191
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1995,copycat,crime drama horror mystery thriller,copycat crime drama horror mystery thriller,36,3.2222222222222223
23,Assassins (1995),Action|Crime|Thriller,1995,assassins,action crime thriller,assassins action crime thriller,16,3.125
24,Powder (1995),Drama|Sci-Fi,1995,powder,drama sci-fi,powder drama sci-fi,28,3.125
25,Leaving Las Vegas (1995),Drama|Romance,1995,leaving las vegas,drama romance,leaving las vegas drama romance,76,3.625
26,Othello (1995),Drama,1995,othello,drama,othello drama,13,3.5
27,Now and Then (1995),Children|Drama,1995,now and then,children drama,now and then children drama,9,3.3333333333333335
28,Persuasion (1995),Drama|Romance,1995,persuasion,drama romance,persuasion drama romance,11,4.2272727272727275
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995,"city of lost children, the (cité des enfants perdus, la)",adventure drama fantasy mystery sci-fi,"city of lost children, the (cité des enfants perdus, la) adventure drama fantasy mystery sci-fi",38,4.0131578947368425
31,Dangerous Minds (1995),Drama,1995,dangerous minds,drama,dangerous minds drama,38,3.1842105263157894
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,1995,twelve monkeys (a.k.a. 12 monkeys),mystery sci-fi thriller,twelve monkeys (a.k.a. 12 monkeys) mystery sci-fi thriller,177,3.983050847457627
34,Babe (1995),Children|Drama,1995,babe,children drama,babe children drama,128,3.65234375
36,Dead Man Walking (1995),Crime|Drama,1995,dead man walking,crime drama,dead man walking crime drama,67,3.8358208955223883
39,Clueless (1995),Comedy|Romance,1995,clueless,comedy romance,clueless comedy romance,104,3.293269230769231
41,Richard III (1995),Drama|War,1995,richard iii,drama war,richard iii drama war,15,3.7
42,Dead Presidents (1995),Action|Crime|Drama,1995,dead presidents,action crime drama,dead presidents action crime drama,7,3.0
43,Restoration (1995),Drama,1995,restoration,drama,restoration drama,8,3.1875
44,Mortal Kombat (1995),Action|Adventure|Fantasy,1995,mortal kombat,action adventure fantasy,mortal kombat action adventure fantasy,46,2.5434782608695654
45,To Die For (1995),Comedy|Drama|Thriller,1995,to die for,comedy drama thriller,to die for comedy drama thriller,32,3.3125
46,How to Make an American Quilt (1995),Drama|Romance,1995,how to make an american quilt,drama romance,how to make an american quilt drama romance,15,3.066666666666667
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,1995,seven (a.k.a. se7en),mystery thriller,seven (a.k.a. se7en) mystery thriller,203,3.9753694581280787
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,1995,pocahontas,animation children drama musical romance,pocahontas animation children drama musical romance,68,3.1470588235294117
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,1995,"usual suspects, the",crime mystery thriller,"usual suspects, the crime mystery thriller",204,4.237745098039215
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,1995,mighty aphrodite,comedy drama romance,mighty aphrodite comedy drama romance,28,3.4642857142857144
57,Home for the Holidays (1995),Drama,1995,home for the holidays,drama,home for the holidays drama,8,3.0625
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,1994,"postman, the (postino, il)",comedy drama romance,"postman, the (postino, il) comedy drama romance",37,4.027027027027027
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,1995,"indian in the cupboard, the",adventure children fantasy,"indian in the cupboard, the adventure children fantasy",34,3.235294117647059
61,Eye for an Eye (1996),Drama|Thriller,1996,eye for an eye,drama thriller,eye for an eye drama thriller,6,3.75
62,Mr. Holland's Opus (1995),Drama,1995,mr. holland's opus,drama,mr. holland's opus drama,80,3.70625
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,1996,don't be a menace to south central while drinking your juice in the hood,comedy crime,don't be a menace to south central while drinking your juice in the hood comedy crime,7,2.7142857142857144
64,Two if by Sea (1996),Comedy|Romance,1996,two if by sea,comedy romance,two if by sea comedy romance,5,2.2
65,Bio-Dome (1996),Comedy,1996,bio-dome,comedy,bio-dome comedy,31,2.532258064516129
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,1996,lawnmower man 2: beyond cyberspace,action sci-fi thriller,lawnmower man 2: beyond cyberspace action sci-fi thriller,9,2.5
68,French Twist (Gazon maudit) (1995),Comedy|Romance,1995,french twist (gazon maudit),comedy romance,french twist (gazon maudit) comedy romance,5,3.4
69,Friday (1995),Comedy,1995,friday,comedy,friday comedy,20,3.775
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,1996,from dusk till dawn,action comedy horror thriller,from dusk till dawn action comedy horror thriller,55,3.5090909090909093
71,Fair Game (1995),Action,1995,fair game,action,fair game action,5,1.7
72,Kicking and Screaming (1995),Comedy|Drama,1995,kicking and screaming,comedy drama,kicking and screaming comedy drama,7,3.2142857142857144
73,"Misérables, Les (1995)",Drama|War,1995,"misérables, les",drama war,"misérables, les drama war",13,3.4615384615384617
74,Bed of Roses (1996),Drama|Romance,1996,bed of roses,drama romance,bed of roses drama romance,8,4.0
75,Big Bully (1996),Comedy|Drama,1996,big bully,comedy drama,big bully comedy drama,5,2.2
76,Screamers (1995),Action|Sci-Fi|Thriller,1995,screamers,action sci-fi thriller,screamers action sci-fi thriller,15,3.4
79,"Juror, The (1996)",Drama|Thriller,1996,"juror, the",drama thriller,"juror, the drama thriller",17,2.764705882352941
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,1995,things to do in denver when you're dead,crime drama romance,things to do in denver when you're dead crime drama romance,14,3.107142857142857
82,Antonia's Line (Antonia) (1995),Comedy|Drama,1995,antonia's line (antonia),comedy drama,antonia's line (antonia) comedy drama,8,3.875
85,Angels and Insects (1995),Drama|Romance,1995,angels and insects,drama romance,angels and insects drama romance,7,3.857142857142857
86,White Squall (1996),Action|Adventure|Drama,1996,white squall,action adventure drama,white squall action adventure drama,15,3.966666666666667
87,Dunston Checks In (1996),Children|Comedy,1996,dunston checks in,children comedy,dunston checks in children comedy,7,2.5
88,Black Sheep (1996),Comedy,1996,black sheep,comedy,black sheep comedy,16,3.15625
89,Nick of Time (1995),Action|Thriller,1995,nick of time,action thriller,nick of time action thriller,10,3.25
92,Mary Reilly (1996),Drama|Horror|Thriller,1996,mary reilly,drama horror thriller,mary reilly drama horror thriller,8,2.625
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,1995,vampire in brooklyn,comedy horror romance,vampire in brooklyn comedy horror romance,9,2.8333333333333335
94,Beautiful Girls (1996),Comedy|Drama|Romance,1996,beautiful girls,comedy drama romance,beautiful girls comedy drama romance,10,3.95
95,Broken Arrow (1996),Action|Adventure|Thriller,1996,broken arrow,action adventure thriller,broken arrow action adventure thriller,84,3.0238095238095237
97,"Hate (Haine, La) (1995)",Crime|Drama,1995,"hate (haine, la)",crime drama,"hate (haine, la) crime drama",10,3.9
100,City Hall (1996),Drama|Thriller,1996,city hall,drama thriller,city hall drama thriller,14,2.7857142857142856
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,1996,bottle rocket,adventure comedy crime romance,bottle rocket adventure comedy crime romance,23,3.782608695652174
102,Mr. Wrong (1996),Comedy,1996,mr. wrong,comedy,mr. wrong comedy,5,2.4
104,Happy Gilmore (1996),Comedy,1996,happy gilmore,comedy,happy gilmore comedy,99,3.4393939393939394
105,"Bridges of Madison County, The (1995)",Drama|Romance,1995,"bridges of madison county, the",drama romance,"bridges of madison county, the drama romance",23,3.282608695652174
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,1996,muppet treasure island,adventure children comedy musical,muppet treasure island adventure children comedy musical,26,3.326923076923077
110,Braveheart (1995),Action|Drama|War,1995,braveheart,action drama war,braveheart action drama war,237,4.031645569620253
111,Taxi Driver (1976),Crime|Drama|Thriller,1976,taxi driver,crime drama thriller,taxi driver crime drama thriller,104,4.105769230769231
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,1995,rumble in the bronx (hont faan kui),action adventure comedy crime,rumble in the bronx (hont faan kui) action adventure comedy crime,46,3.5434782608695654
116,Anne Frank Remembered (1995),Documentary,1995,anne frank remembered,documentary,anne frank remembered documentary,5,3.9
122,Boomerang (1992),Comedy|Romance,1992,boomerang,comedy romance,boomerang comedy romance,16,2.65625
125,Flirting With Disaster (1996),Comedy,1996,flirting with disaster,comedy,flirting with disaster comedy,12,3.5833333333333335
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,1994,"neverending story iii, the",adventure children fantasy,"neverending story iii, the adventure children fantasy",7,2.0
132,Jade (1995),Thriller,1995,jade,thriller,jade thriller,6,2.8333333333333335
135,Down Periscope (1996),Comedy,1996,down periscope,comedy,down periscope comedy,31,2.9516129032258065
140,Up Close and Personal (1996),Drama|Romance,1996,up close and personal,drama romance,up close and personal drama romance,16,3.5
141,"Birdcage, The (1996)",Comedy,1996,"birdcage, the",comedy,"birdcage, the comedy",86,3.494186046511628
144,"Brothers McMullen, The (1995)",Comedy,1995,"brothers mcmullen, the",comedy,"brothers mcmullen, the comedy",12,3.3333333333333335
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,1995,bad boys,action comedy crime drama thriller,bad boys action comedy crime drama thriller,51,3.2450980392156863
147,"Basketball Diaries, The (1995)",Drama,1995,"basketball diaries, the",drama,"basketball diaries, the drama",15,3.466666666666667
150,Apollo 13 (1995),Adventure|Drama|IMAX,1995,apollo 13,adventure drama imax,apollo 13 adventure drama imax,201,3.845771144278607
151,Rob Roy (1995),Action|Drama|Romance|War,1995,rob roy,action drama romance war,rob roy action drama romance war,44,3.5454545454545454
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,1995,batman forever,action adventure comedy crime,batman forever action adventure comedy crime,137,2.9160583941605838
154,Beauty of the Day (Belle de jour) (1967),Drama,1967,beauty of the day (belle de jour),drama,beauty of the day (belle de jour) drama,12,3.875
155,Beyond Rangoon (1995),Adventure|Drama|War,1995,beyond rangoon,adventure drama war,beyond rangoon adventure drama war,6,2.4166666666666665
157,Canadian Bacon (1995),Comedy|War,1995,canadian bacon,comedy war,canadian bacon comedy war,11,2.8636363636363638
158,Casper (1995),Adventure|Children,1995,casper,adventure children,casper adventure children,62,2.806451612903226
159,Clockers (1995),Crime|Drama|Mystery,1995,clockers,crime drama mystery,clockers crime drama mystery,14,2.892857142857143
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,1995,congo,action adventure mystery sci-fi,congo action adventure mystery sci-fi,57,2.8771929824561404
161,Crimson Tide (1995),Drama|Thriller|War,1995,crimson tide,drama thriller war,crimson tide drama thriller war,103,3.6359223300970873
162,Crumb (1994),Documentary,1994,crumb,documentary,crumb documentary,17,4.205882352941177
163,Desperado (1995),Action|Romance|Western,1995,desperado,action romance western,desperado action romance western,66,3.5606060606060606
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,1995,devil in a blue dress,crime film-noir mystery thriller,devil in a blue dress crime film-noir mystery thriller,14,3.3214285714285716
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,1995,die hard: with a vengeance,action crime thriller,die hard: with a vengeance action crime thriller,144,3.5555555555555554
168,First Knight (1995),Action|Drama|Romance,1995,first knight,action drama romance,first knight action drama romance,54,3.0833333333333335
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,1995,free willy 2: the adventure home,adventure children drama,free willy 2: the adventure home adventure children drama,10,2.4
170,Hackers (1995),Action|Adventure|Crime|Thriller,1995,hackers,action adventure crime thriller,hackers action adventure crime thriller,35,3.2285714285714286
171,Jeffrey (1995),Comedy|Drama,1995,jeffrey,comedy drama,jeffrey comedy drama,6,3.8333333333333335
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,1995,johnny mnemonic,action sci-fi thriller,johnny mnemonic action sci-fi thriller,53,2.6792452830188678
173,Judge Dredd (1995),Action|Crime|Sci-Fi,1995,judge dredd,action crime sci-fi,judge dredd action crime sci-fi,62,2.6693548387096775
174,Jury Duty (1995),Comedy,1995,jury duty,comedy,jury duty comedy,10,2.7
175,Kids (1995),Drama,1995,kids,drama,kids drama,20,3.975
176,Living in Oblivion (1995),Comedy,1995,living in oblivion,comedy,living in oblivion comedy,13,4.3076923076923075
177,Lord of Illusions (1995),Horror,1995,lord of illusions,horror,lord of illusions horror,8,2.75
180,Mallrats (1995),Comedy|Romance,1995,mallrats,comedy romance,mallrats comedy romance,36,3.4027777777777777
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,1995,mighty morphin power rangers: the movie,action children,mighty morphin power rangers: the movie action children,17,2.264705882352941
185,"Net, The (1995)",Action|Crime|Thriller,1995,"net, the",action crime thriller,"net, the action crime thriller",112,3.0401785714285716
186,Nine Months (1995),Comedy|Romance,1995,nine months,comedy romance,nine months comedy romance,48,2.8229166666666665
188,"Prophecy, The (1995)",Fantasy|Horror|Mystery,1995,"prophecy, the",fantasy horror mystery,"prophecy, the fantasy horror mystery",12,3.4583333333333335
190,Safe (1995),Thriller,1995,safe,thriller,safe thriller,5,2.8
191,"Scarlet Letter, The (1995)",Drama|Romance,1995,"scarlet letter, the",drama romance,"scarlet letter, the drama romance",6,2.4166666666666665
193,Showgirls (1995),Drama,1995,showgirls,drama,showgirls drama,35,2.4714285714285715
194,Smoke (1995),Comedy|Drama,1995,smoke,comedy drama,smoke comedy drama,18,3.6666666666666665
195,Something to Talk About (1995),Comedy|Drama|Romance,1995,something to talk about,comedy drama romance,something to talk about comedy drama romance,10,3.1
196,Species (1995),Horror|Sci-Fi,1995,species,horror sci-fi,species horror sci-fi,45,2.6666666666666665
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,1995,strange days,action crime drama mystery sci-fi thriller,strange days action crime drama mystery sci-fi thriller,28,3.25
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,1995,"to wong foo, thanks for everything! julie newmar",comedy,"to wong foo, thanks for everything! julie newmar comedy",22,3.4318181818181817
204,Under Siege 2: Dark Territory (1995),Action,1995,under siege 2: dark territory,action,under siege 2: dark territory action,30,2.716666666666667
205,Unstrung Heroes (1995),Comedy|Drama,1995,unstrung heroes,comedy drama,unstrung heroes comedy drama,9,3.1666666666666665
207,"Walk in the Clouds, A (1995)",Drama|Romance,1995,"walk in the clouds, a",drama romance,"walk in the clouds, a drama romance",21,3.4285714285714284
208,Waterworld (1995),Action|Adventure|Sci-Fi,1995,waterworld,action adventure sci-fi,waterworld action adventure sci-fi,115,2.9130434782608696
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,1994,burnt by the sun (utomlyonnye solntsem),drama,burnt by the sun (utomlyonnye solntsem) drama,6,3.8333333333333335
215,Before Sunrise (1995),Drama|Romance,1995,before sunrise,drama romance,before sunrise drama romance,24,4.041666666666667
216,Billy Madison (1995),Comedy,1995,billy madison,comedy,billy madison comedy,49,3.326530612244898
217,"Babysitter, The (1995)",Drama|Thriller,1995,"babysitter, the",drama thriller,"babysitter, the drama thriller",6,2.3333333333333335
218,Boys on the Side (1995),Comedy|Drama,1995,boys on the side,comedy drama,boys on the side comedy drama,14,3.4285714285714284
222,Circle of Friends (1995),Drama|Romance,1995,circle of friends,drama romance,circle of friends drama romance,16,3.75
223,Clerks (1994),Comedy,1994,clerks,comedy,clerks comedy,104,3.855769230769231
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,1995,don juan demarco,comedy drama romance,don juan demarco comedy drama romance,40,3.6125
225,Disclosure (1994),Drama|Thriller,1994,disclosure,drama thriller,disclosure drama thriller,52,3.5384615384615383
227,Drop Zone (1994),Action|Thriller,1994,drop zone,action thriller,drop zone action thriller,22,2.8636363636363638
229,Death and the Maiden (1994),Drama|Thriller,1994,death and the maiden,drama thriller,death and the maiden drama thriller,7,3.4285714285714284
230,Dolores Claiborne (1995),Drama|Thriller,1995,dolores claiborne,drama thriller,dolores claiborne drama thriller,24,3.3958333333333335
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,1994,dumb & dumber (dumb and dumber),adventure comedy,dumb & dumber (dumb and dumber) adventure comedy,133,3.0601503759398496
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,1994,eat drink man woman (yin shi nan nu),comedy drama romance,eat drink man woman (yin shi nan nu) comedy drama romance,14,3.892857142857143
233,Exotica (1994),Drama,1994,exotica,drama,exotica drama,12,3.5
234,Exit to Eden (1994),Comedy,1994,exit to eden,comedy,exit to eden comedy,17,2.588235294117647
235,Ed Wood (1994),Comedy|Drama,1994,ed wood,comedy drama,ed wood comedy drama,70,3.6785714285714284
236,French Kiss (1995),Action|Comedy|Romance,1995,french kiss,action comedy romance,french kiss action comedy romance,45,3.477777777777778
237,Forget Paris (1995),Comedy|Romance,1995,forget paris,comedy romance,forget paris comedy romance,22,3.340909090909091
239,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,1995,"goofy movie, a",animation children comedy romance,"goofy movie, a animation children comedy romance",17,3.0
242,Farinelli: il castrato (1994),Drama|Musical,1994,farinelli: il castrato,drama musical,farinelli: il castrato drama musical,5,3.6
246,Hoop Dreams (1994),Documentary,1994,hoop dreams,documentary,hoop dreams documentary,29,4.293103448275862
247,Heavenly Creatures (1994),Crime|Drama,1994,heavenly creatures,crime drama,heavenly creatures crime drama,21,3.9285714285714284
248,Houseguest (1994),Comedy,1994,houseguest,comedy,houseguest comedy,17,3.176470588235294
249,Immortal Beloved (1994),Drama|Romance,1994,immortal beloved,drama romance,immortal beloved drama romance,18,3.7222222222222223
250,Heavyweights (Heavy Weights) (1995),Children|Comedy,1995,heavyweights (heavy weights),children comedy,heavyweights (heavy weights) children comedy,6,2.5
252,I.Q. (1994),Comedy|Romance,1994,i.q.,comedy romance,i.q. comedy romance,43,3.453488372093023
253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,1994,interview with the vampire: the vampire chronicles,drama horror,interview with the vampire: the vampire chronicles drama horror,109,3.458715596330275
255,"Jerky Boys, The (1995)",Comedy,1995,"jerky boys, the",comedy,"jerky boys, the comedy",7,2.0714285714285716
256,Junior (1994),Comedy|Sci-Fi,1994,junior,comedy sci-fi,junior comedy sci-fi,35,2.8285714285714287
257,Just Cause (1995),Mystery|Thriller,1995,just cause,mystery thriller,just cause mystery thriller,14,3.5
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance,1995,"kid in king arthur's court, a",adventure children comedy fantasy romance,"kid in king arthur's court, a adventure children comedy fantasy romance",10,2.6
259,Kiss of Death (1995),Crime|Drama|Thriller,1995,kiss of death,crime drama thriller,kiss of death crime drama thriller,5,3.2
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,1977,star wars: episode iv - a new hope,action adventure sci-fi,star wars: episode iv - a new hope action adventure sci-fi,251,4.231075697211155
261,Little Women (1994),Drama,1994,little women,drama,little women drama,42,3.880952380952381
262,"Little Princess, A (1995)",Children|Drama,1995,"little princess, a",children drama,"little princess, a children drama",21,3.9047619047619047
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance,1992,like water for chocolate (como agua para chocolate),drama fantasy romance,like water for chocolate (como agua para chocolate) drama fantasy romance,33,3.9393939393939394
266,Legends of the Fall (1994),Drama|Romance|War|Western,1994,legends of the fall,drama romance war western,legends of the fall drama romance war western,68,3.3970588235294117
267,Major Payne (1995),Comedy,1995,major payne,comedy,major payne comedy,17,2.9411764705882355
270,Love Affair (1994),Drama|Romance,1994,love affair,drama romance,love affair drama romance,5,3.4
272,"Madness of King George, The (1994)",Comedy|Drama,1994,"madness of king george, the",comedy drama,"madness of king george, the comedy drama",31,3.7580645161290325
273,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi,1994,mary shelley's frankenstein (frankenstein),drama horror sci-fi,mary shelley's frankenstein (frankenstein) drama horror sci-fi,28,2.9464285714285716
274,Man of the House (1995),Comedy,1995,man of the house,comedy,man of the house comedy,7,2.9285714285714284
275,Mixed Nuts (1994),Comedy,1994,mixed nuts,comedy,mixed nuts comedy,6,2.0
276,Milk Money (1994),Comedy|Romance,1994,milk money,comedy romance,milk money comedy romance,22,3.25
277,Miracle on 34th Street (1994),Drama,1994,miracle on 34th street,drama,miracle on 34th street drama,38,3.223684210526316
280,Murder in the First (1995),Drama|Thriller,1995,murder in the first,drama thriller,murder in the first drama thriller,13,4.076923076923077
281,Nobody's Fool (1994),Comedy|Drama|Romance,1994,nobody's fool,comedy drama romance,nobody's fool comedy drama romance,14,3.7857142857142856
282,Nell (1994),Drama,1994,nell,drama,nell drama,40,3.3375
288,Natural Born Killers (1994),Action|Crime|Thriller,1994,natural born killers,action crime thriller,natural born killers action crime thriller,92,3.233695652173913
289,Only You (1994),Comedy|Romance,1994,only you,comedy romance,only you comedy romance,8,3.5625
290,Once Were Warriors (1994),Crime|Drama,1994,once were warriors,crime drama,once were warriors crime drama,14,4.035714285714286
292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller,1995,outbreak,action drama sci-fi thriller,outbreak action drama sci-fi thriller,101,3.4257425742574257
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,1994,léon: the professional (a.k.a. the professional) (léon),action crime drama thriller,léon: the professional (a.k.a. the professional) (léon) action crime drama thriller,133,4.018796992481203
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,1994,pulp fiction,comedy crime drama thriller,pulp fiction comedy crime drama thriller,307,4.197068403908795
300,Quiz Show (1994),Drama,1994,quiz show,drama,quiz show drama,81,3.5185185185185186
302,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance,1994,"queen margot (reine margot, la)",drama romance,"queen margot (reine margot, la) drama romance",5,3.2
303,"Quick and the Dead, The (1995)",Action|Thriller|Western,1995,"quick and the dead, the",action thriller western,"quick and the dead, the action thriller western",32,2.953125
305,Ready to Wear (Pret-A-Porter) (1994),Comedy,1994,ready to wear (pret-a-porter),comedy,ready to wear (pret-a-porter) comedy,9,2.8333333333333335
306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama,1994,three colors: red (trois couleurs: rouge),drama,three colors: red (trois couleurs: rouge) drama,16,4.21875
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama,1993,three colors: blue (trois couleurs: bleu),drama,three colors: blue (trois couleurs: bleu) drama,24,3.8958333333333335
308,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama,1994,three colors: white (trzy kolory: bialy),comedy drama,three colors: white (trzy kolory: bialy) comedy drama,20,4.025
312,Stuart Saves His Family (1995),Comedy,1995,stuart saves his family,comedy,stuart saves his family comedy,9,1.4444444444444444
314,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery,1994,"secret of roan inish, the",children drama fantasy mystery,"secret of roan inish, the children drama fantasy mystery",16,3.75
315,"Specialist, The (1994)",Action|Drama|Thriller,1994,"specialist, the",action drama thriller,"specialist, the action drama thriller",38,3.0789473684210527
316,Stargate (1994),Action|Adventure|Sci-Fi,1994,stargate,action adventure sci-fi,stargate action adventure sci-fi,140,3.375
317,"Santa Clause, The (1994)",Comedy|Drama|Fantasy,1994,"santa clause, the",comedy drama fantasy,"santa clause, the comedy drama fantasy",81,3.2037037037037037
318,"Shawshank Redemption, The (1994)",Crime|Drama,1994,"shawshank redemption, the",crime drama,"shawshank redemption, the crime drama",317,4.429022082018927
319,Shallow Grave (1994),Comedy|Drama|Thriller,1994,shallow grave,comedy drama thriller,shallow grave comedy drama thriller,20,3.6
322,Swimming with Sharks (1995),Comedy|Drama,1995,swimming with sharks,comedy drama,swimming with sharks comedy drama,10,3.55
325,National Lampoon's Senior Trip (1995),Comedy,1995,national lampoon's senior trip,comedy,national lampoon's senior trip comedy,7,2.5
327,Tank Girl (1995),Action|Comedy|Sci-Fi,1995,tank girl,action comedy sci-fi,tank girl action comedy sci-fi,34,2.823529411764706
328,Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller,1995,tales from the crypt presents: demon knight,horror thriller,tales from the crypt presents: demon knight horror thriller,10,3.15
329,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi,1994,star trek: generations,adventure drama sci-fi,star trek: generations adventure drama sci-fi,108,3.3935185185185186
330,Tales from the Hood (1995),Action|Crime|Horror,1995,tales from the hood,action crime horror,tales from the hood action crime horror,6,3.0
332,Village of the Damned (1995),Horror|Sci-Fi,1995,village of the damned,horror sci-fi,village of the damned horror sci-fi,12,2.8333333333333335
333,Tommy Boy (1995),Comedy,1995,tommy boy,comedy,tommy boy comedy,50,3.78
334,Vanya on 42nd Street (1994),Drama,1994,vanya on 42nd street,drama,vanya on 42nd street drama,5,4.2
337,What's Eating Gilbert Grape (1993),Drama,1993,what's eating gilbert grape,drama,what's eating gilbert grape drama,77,3.7662337662337664
338,Virtuosity (1995),Action|Sci-Fi|Thriller,1995,virtuosity,action sci-fi thriller,virtuosity action sci-fi thriller,19,2.8421052631578947
339,While You Were Sleeping (1995),Comedy|Romance,1995,while you were sleeping,comedy romance,while you were sleeping comedy romance,98,3.4693877551020407
