movieId,title,clean_titles,year,genres,movies_text
94,Beautiful Girls (1996),beautiful girls,1996,Comedy|Drama|Romance,beautiful girls comedy drama romance
95,Broken Arrow (1996),broken arrow,1996,Action|Adventure|Thriller,broken arrow action adventure thriller
97,"Hate (Haine, La) (1995)","hate (haine, la)",1995,Crime|Drama,"hate (haine, la) crime drama"
100,City Hall (1996),city hall,1996,Drama|Thriller,city hall drama thriller
101,Bottle Rocket (1996),bottle rocket,1996,Adventure|Comedy|Crime|Romance,bottle rocket adventure comedy crime romance
102,Mr. Wrong (1996),mr. wrong,1996,Comedy,mr. wrong comedy
104,Happy Gilmore (1996),happy gilmore,1996,Comedy,happy gilmore comedy
105,"Bridges of Madison County, The (1995)","bridges of madison county, the",1995,Drama|Romance,"bridges of madison county, the drama romance"
107,Muppet Treasure Island (1996),muppet treasure island,1996,Adventure|Children|Comedy|Musical,muppet treasure island adventure children comedy musical
110,Braveheart (1995),braveheart,1995,Action|Drama|War,braveheart action drama war
111,Taxi Driver (1976),taxi driver,1976,Crime|Drama|Thriller,taxi driver crime drama thriller
112,Rumble in the Bronx (Hont faan kui) (1995),rumble in the bronx (hont faan kui),1995,Action|Adventure|Comedy|Crime,rumble in the bronx (hont faan kui) action adventure comedy crime
116,Anne Frank Remembered (1995),anne frank remembered,1995,Documentary,anne frank remembered documentary
122,Boomerang (1992),boomerang,1992,Comedy|Romance,boomerang comedy romance
125,Flirting With Disaster (1996),flirting with disaster,1996,Comedy,flirting with disaster comedy
126,"NeverEnding Story III, The (1994)","neverending story iii, the",1994,Adventure|Children|Fantasy,"neverending story iii, the adventure children fantasy"
132,Jade (1995),jade,1995,Thriller,jade thriller
135,Down Periscope (1996),down periscope,1996,Comedy,down periscope comedy
140,Up Close and Personal (1996),up close and personal,1996,Drama|Romance,up close and personal drama romance
141,"Birdcage, The (1996)","birdcage, the",1996,Comedy,"birdcage, the comedy"
144,"Brothers McMullen, The (1995)","brothers mcmullen, the",1995,Comedy,"brothers mcmullen, the comedy"
145,Bad Boys (1995),bad boys,1995,Action|Comedy|Crime|Drama|Thriller,bad boys action comedy crime drama thriller
147,"Basketball Diaries, The (1995)","basketball diaries, the",1995,Drama,"basketball diaries, the drama"
150,Apollo 13 (1995),apollo 13,1995,Adventure|Drama|IMAX,apollo 13 adventure drama imax
151,Rob Roy (1995),rob roy,1995,Action|Drama|Romance|War,rob roy action drama romance war
153,Batman Forever (1995),batman forever,1995,Action|Adventure|Comedy|Crime,batman forever action adventure comedy crime
154,Beauty of the Day (Belle de jour) (1967),beauty of the day (belle de jour),1967,Drama,beauty of the day (belle de jour) drama
155,Beyond Rangoon (1995),beyond rangoon,1995,Adventure|Drama|War,beyond rangoon adventure drama war
157,Canadian Bacon (1995),canadian bacon,1995,Comedy|War,canadian bacon comedy war
158,Casper (1995),casper,1995,Adventure|Children,casper adventure children
159,Clockers (1995),clockers,1995,Crime|Drama|Mystery,clockers crime drama mystery
160,Congo (1995),congo,1995,Action|Adventure|Mystery|Sci-Fi,congo action adventure mystery sci-fi
161,Crimson Tide (1995),crimson tide,1995,Drama|Thriller|War,crimson tide drama thriller war
162,Crumb (1994),crumb,1994,Documentary,crumb documentary
163,Desperado (1995),desperado,1995,Action|Romance|Western,desperado action romance western
164,Devil in a Blue Dress (1995),devil in a blue dress,1995,Crime|Film-Noir|Mystery|Thriller,devil in a blue dress crime film-noir mystery thriller
165,Die Hard: With a Vengeance (1995),die hard: with a vengeance,1995,Action|Crime|Thriller,die hard: with a vengeance action crime thriller
168,First Knight (1995),first knight,1995,Action|Drama|Romance,first knight action drama romance
169,Free Willy 2: The Adventure Home (1995),free willy 2: the adventure home,1995,Adventure|Children|Drama,free willy 2: the adventure home adventure children drama
170,Hackers (1995),hackers,1995,Action|Adventure|Crime|Thriller,hackers action adventure crime thriller
171,Jeffrey (1995),jeffrey,1995,Comedy|Drama,jeffrey comedy drama
172,Johnny Mnemonic (1995),johnny mnemonic,1995,Action|Sci-Fi|Thriller,johnny mnemonic action sci-fi thriller
173,Judge Dredd (1995),judge dredd,1995,Action|Crime|Sci-Fi,judge dredd action crime sci-fi
174,Jury Duty (1995),jury duty,1995,Comedy,jury duty comedy
175,Kids (1995),kids,1995,Drama,kids drama
176,Living in Oblivion (1995),living in oblivion,1995,Comedy,living in oblivion comedy
177,Lord of Illusions (1995),lord of illusions,1995,Horror,lord of illusions horror
180,Mallrats (1995),mallrats,1995,Comedy|Romance,mallrats comedy romance
181,Mighty Morphin Power Rangers: The Movie (1995),mighty morphin power rangers: the movie,1995,Action|Children,mighty morphin power rangers: the movie action children
185,"Net, The (1995)","net, the",1995,Action|Crime|Thriller,"net, the action crime thriller"
186,Nine Months (1995),nine months,1995,Comedy|Romance,nine months comedy romance
188,"Prophecy, The (1995)","prophecy, the",1995,Fantasy|Horror|Mystery,"prophecy, the fantasy horror mystery"
190,Safe (1995),safe,1995,Thriller,safe thriller
191,"Scarlet Letter, The (1995)","scarlet letter, the",1995,Drama|Romance,"scarlet letter, the drama romance"
193,Showgirls (1995),showgirls,1995,Drama,showgirls drama
194,Smoke (1995),smoke,1995,Comedy|Drama,smoke comedy drama
195,Something to Talk About (1995),something to talk about,1995,Comedy|Drama|Romance,something to talk about comedy drama romance
196,Species (1995),species,1995,Horror|Sci-Fi,species horror sci-fi
198,Strange Days (1995),strange days,1995,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,strange days action crime drama mystery sci-fi thriller
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)","to wong foo, thanks for everything! julie newmar",1995,Comedy,"to wong foo, thanks for everything! julie newmar comedy"
204,Under Siege 2: Dark Territory (1995),under siege 2: dark territory,1995,Action,under siege 2: dark territory action
205,Unstrung Heroes (1995),unstrung heroes,1995,Comedy|Drama,unstrung heroes comedy drama
207,"Walk in the Clouds, A (1995)","walk in the clouds, a",1995,Drama|Romance,"walk in the clouds, a drama romance"
208,Waterworld (1995),waterworld,1995,Action|Adventure|Sci-Fi,waterworld action adventure sci-fi
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),burnt by the sun (utomlyonnye solntsem),1994,Drama,burnt by the sun (utomlyonnye solntsem) drama
215,Before Sunrise (1995),before sunrise,1995,Drama|Romance,before sunrise drama romance
216,Billy Madison (1995),billy madison,1995,Comedy,billy madison comedy
217,"Babysitter, The (1995)","babysitter, the",1995,Drama|Thriller,"babysitter, the drama thriller"
218,Boys on the Side (1995),boys on the side,1995,Comedy|Drama,boys on the side comedy drama
222,Circle of Friends (1995),circle of friends,1995,Drama|Romance,circle of friends drama romance
223,Clerks (1994),clerks,1994,Comedy,clerks comedy
224,Don Juan DeMarco (1995),don juan demarco,1995,Comedy|Drama|Romance,don juan demarco comedy drama romance
225,Disclosure (1994),disclosure,1994,Drama|Thriller,disclosure drama thriller
227,Drop Zone (1994),drop zone,1994,Action|Thriller,drop zone action thriller
229,Death and the Maiden (1994),death and the maiden,1994,Drama|Thriller,death and the maiden drama thriller
230,Dolores Claiborne (1995),dolores claiborne,1995,Drama|Thriller,dolores claiborne drama thriller
231,Dumb & Dumber (Dumb and Dumber) (1994),dumb & dumber (dumb and dumber),1994,Adventure|Comedy,dumb & dumber (dumb and dumber) adventure comedy
232,Eat Drink Man Woman (Yin shi nan nu) (1994),eat drink man woman (yin shi nan nu),1994,Comedy|Drama|Romance,eat drink man woman (yin shi nan nu) comedy drama romance
233,Exotica (1994),exotica,1994,Drama,exotica drama
234,Exit to Eden (1994),exit to eden,1994,Comedy,exit to eden comedy
235,Ed Wood (1994),ed wood,1994,Comedy|Drama,ed wood comedy drama
236,French Kiss (1995),french kiss,1995,Action|Comedy|Romance,french kiss action comedy romance
237,Forget Paris (1995),forget paris,1995,Comedy|Romance,forget paris comedy romance
239,"Goofy Movie, A (1995)","goofy movie, a",1995,Animation|Children|Comedy|Romance,"goofy movie, a animation children comedy romance"
242,Farinelli: il castrato (1994),farinelli: il castrato,1994,Drama|Musical,farinelli: il castrato drama musical
246,Hoop Dreams (1994),hoop dreams,1994,Documentary,hoop dreams documentary
247,Heavenly Creatures (1994),heavenly creatures,1994,Crime|Drama,heavenly creatures crime drama
248,Houseguest (1994),houseguest,1994,Comedy,houseguest comedy
249,Immortal Beloved (1994),immortal beloved,1994,Drama|Romance,immortal beloved drama romance
250,Heavyweights (Heavy Weights) (1995),heavyweights (heavy weights),1995,Children|Comedy,heavyweights (heavy weights) children comedy
252,I.Q. (1994),i.q.,1994,Comedy|Romance,i.q. comedy romance
253,Interview with the Vampire: The Vampire Chronicles (1994),interview with the vampire: the vampire chronicles,1994,Drama|Horror,interview with the vampire: the vampire chronicles drama horror
255,"Jerky Boys, The (1995)","jerky boys, the",1995,Comedy,"jerky boys, the comedy"
256,Junior (1994),junior,1994,Comedy|Sci-Fi,junior comedy sci-fi
257,Just Cause (1995),just cause,1995,Mystery|Thriller,just cause mystery thriller
258,"Kid in King Arthur's Court, A (1995)","kid in king arthur's court, a",1995,Adventure|Children|Comedy|Fantasy|Romance,"kid in king arthur's court, a adventure children comedy fantasy romance"
259,Kiss of Death (1995),kiss of death,1995,Crime|Drama|Thriller,kiss of death crime drama thriller
260,Star Wars: Episode IV - A New Hope (1977),star wars: episode iv - a new hope,1977,Action|Adventure|Sci-Fi,star wars: episode iv - a new hope action adventure sci-fi
261,Little Women (1994),little women,1994,Drama,little women drama
262,"Little Princess, A (1995)","little princess, a",1995,Children|Drama,"little princess, a children drama"
265,Like Water for Chocolate (Como agua para chocolate) (1992),like water for chocolate (como agua para chocolate),1992,Drama|Fantasy|Romance,like water for chocolate (como agua para chocolate) drama fantasy romance
266,Legends of the Fall (1994),legends of the fall,1994,Drama|Romance|War|Western,legends of the fall drama romance war western
267,Major Payne (1995),major payne,1995,Comedy,major payne comedy
270,Love Affair (1994),love affair,1994,Drama|Romance,love affair drama romance
272,"Madness of King George, The (1994)","madness of king george, the",1994,Comedy|Drama,"madness of king george, the comedy drama"
273,Mary Shelley's Frankenstein (Frankenstein) (1994),mary shelley's frankenstein (frankenstein),1994,Drama|Horror|Sci-Fi,mary shelley's frankenstein (frankenstein) drama horror sci-fi
274,Man of the House (1995),man of the house,1995,Comedy,man of the house comedy
275,Mixed Nuts (1994),mixed nuts,1994,Comedy,mixed nuts comedy
276,Milk Money (1994),milk money,1994,Comedy|Romance,milk money comedy romance
277,Miracle on 34th Street (1994),miracle on 34th street,1994,Drama,miracle on 34th street drama
280,Murder in the First (1995),murder in the first,1995,Drama|Thriller,murder in the first drama thriller
281,Nobody's Fool (1994),nobody's fool,1994,Comedy|Drama|Romance,nobody's fool comedy drama romance
282,Nell (1994),nell,1994,Drama,nell drama
288,Natural Born Killers (1994),natural born killers,1994,Action|Crime|Thriller,natural born killers action crime thriller
289,Only You (1994),only you,1994,Comedy|Romance,only you comedy romance
290,Once Were Warriors (1994),once were warriors,1994,Crime|Drama,once were warriors crime drama
292,Outbreak (1995),outbreak,1995,Action|Drama|Sci-Fi|Thriller,outbreak action drama sci-fi thriller
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),léon: the professional (a.k.a. the professional) (léon),1994,Action|Crime|Drama|Thriller,léon: the professional (a.k.a. the professional) (léon) action crime drama thriller
296,Pulp Fiction (1994),pulp fiction,1994,Comedy|Crime|Drama|Thriller,pulp fiction comedy crime drama thriller
300,Quiz Show (1994),quiz show,1994,Drama,quiz show drama
302,"Queen Margot (Reine Margot, La) (1994)","queen margot (reine margot, la)",1994,Drama|Romance,"queen margot (reine margot, la) drama romance"
303,"Quick and the Dead, The (1995)","quick and the dead, the",1995,Action|Thriller|Western,"quick and the dead, the action thriller western"
305,Ready to Wear (Pret-A-Porter) (1994),ready to wear (pret-a-porter),1994,Comedy,ready to wear (pret-a-porter) comedy
306,Three Colors: Red (Trois couleurs: Rouge) (1994),three colors: red (trois couleurs: rouge),1994,Drama,three colors: red (trois couleurs: rouge) drama
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),three colors: blue (trois couleurs: bleu),1993,Drama,three colors: blue (trois couleurs: bleu) drama
308,Three Colors: White (Trzy kolory: Bialy) (1994),three colors: white (trzy kolory: bialy),1994,Comedy|Drama,three colors: white (trzy kolory: bialy) comedy drama
312,Stuart Saves His Family (1995),stuart saves his family,1995,Comedy,stuart saves his family comedy
314,"Secret of Roan Inish, The (1994)","secret of roan inish, the",1994,Children|Drama|Fantasy|Mystery,"secret of roan inish, the children drama fantasy mystery"
315,"Specialist, The (1994)","specialist, the",1994,Action|Drama|Thriller,"specialist, the action drama thriller"
316,Stargate (1994),stargate,1994,Action|Adventure|Sci-Fi,stargate action adventure sci-fi
317,"Santa Clause, The (1994)","santa clause, the",1994,Comedy|Drama|Fantasy,"santa clause, the comedy drama fantasy"
318,"Shawshank Redemption, The (1994)","shawshank redemption, the",1994,Crime|Drama,"shawshank redemption, the crime drama"
319,Shallow Grave (1994),shallow grave,1994,Comedy|Drama|Thriller,shallow grave comedy drama thriller
322,Swimming with Sharks (1995),swimming with sharks,1995,Comedy|Drama,swimming with sharks comedy drama
325,National Lampoon's Senior Trip (1995),national lampoon's senior trip,1995,Comedy,national lampoon's senior trip comedy
327,Tank Girl (1995),tank girl,1995,Action|Comedy|Sci-Fi,tank girl action comedy sci-fi
328,Tales from the Crypt Presents: Demon Knight (1995),tales from the crypt presents: demon knight,1995,Horror|Thriller,tales from the crypt presents: demon knight horror thriller
329,Star Trek: Generations (1994),star trek: generations,1994,Adventure|Drama|Sci-Fi,star trek: generations adventure drama sci-fi
330,Tales from the Hood (1995),tales from the hood,1995,Action|Crime|Horror,tales from the hood action crime horror
332,Village of the Damned (1995),village of the damned,1995,Horror|Sci-Fi,village of the damned horror sci-fi
333,Tommy Boy (1995),tommy boy,1995,Comedy,tommy boy comedy
334,Vanya on 42nd Street (1994),vanya on 42nd street,1994,Drama,vanya on 42nd street drama
337,What's Eating Gilbert Grape (1993),what's eating gilbert grape,1993,Drama,what's eating gilbert grape drama
338,Virtuosity (1995),virtuosity,1995,Action|Sci-Fi|Thriller,virtuosity action sci-fi thriller
339,While You Were Sleeping (1995),while you were sleeping,1995,Comedy|Romance,while you were sleeping comedy romance
340,"War, The (1994)","war, the",1994,Adventure|Drama|War,"war, the adventure drama war"
342,Muriel's Wedding (1994),muriel's wedding,1994,Comedy,muriel's wedding comedy
343,"Baby-Sitters Club, The (1995)","baby-sitters club, the",1995,Children,"baby-sitters club, the children"
344,Ace Ventura: Pet Detective (1994),ace ventura: pet detective,1994,Comedy,ace ventura: pet detective comedy
345,"Adventures of Priscilla, Queen of the Desert, The (1994)","adventures of priscilla, queen of the desert, the",1994,Comedy|Drama,"adventures of priscilla, queen of the desert, the comedy drama"
346,Backbeat (1993),backbeat,1993,Drama|Musical,backbeat drama musical
347,Bitter Moon (1992),bitter moon,1992,Drama|Film-Noir|Romance,bitter moon drama film-noir romance
348,Bullets Over Broadway (1994),bullets over broadway,1994,Comedy,bullets over broadway comedy
349,Clear and Present Danger (1994),clear and present danger,1994,Action|Crime|Drama|Thriller,clear and present danger action crime drama thriller
350,"Client, The (1994)","client, the",1994,Drama|Mystery|Thriller,"client, the drama mystery thriller"
351,"Corrina, Corrina (1994)","corrina, corrina",1994,Comedy|Drama|Romance,"corrina, corrina comedy drama romance"
353,"Crow, The (1994)","crow, the",1994,Action|Crime|Fantasy|Thriller,"crow, the action crime fantasy thriller"
354,Cobb (1994),cobb,1994,Drama,cobb drama
355,"Flintstones, The (1994)","flintstones, the",1994,Children|Comedy|Fantasy,"flintstones, the children comedy fantasy"
356,Forrest Gump (1994),forrest gump,1994,Comedy|Drama|Romance|War,forrest gump comedy drama romance war
357,Four Weddings and a Funeral (1994),four weddings and a funeral,1994,Comedy|Romance,four weddings and a funeral comedy romance
358,Higher Learning (1995),higher learning,1995,Drama,higher learning drama
360,I Love Trouble (1994),i love trouble,1994,Action|Comedy,i love trouble action comedy
361,It Could Happen to You (1994),it could happen to you,1994,Comedy|Drama|Romance,it could happen to you comedy drama romance
362,"Jungle Book, The (1994)","jungle book, the",1994,Adventure|Children|Romance,"jungle book, the adventure children romance"
364,"Lion King, The (1994)","lion king, the",1994,Adventure|Animation|Children|Drama|Musical|IMAX,"lion king, the adventure animation children drama musical imax"
366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)","wes craven's new nightmare (nightmare on elm street part 7: freddy's finale, a)",1994,Drama|Horror|Mystery|Thriller,"wes craven's new nightmare (nightmare on elm street part 7: freddy's finale, a) drama horror mystery thriller"
367,"Mask, The (1994)","mask, the",1994,Action|Comedy|Crime|Fantasy,"mask, the action comedy crime fantasy"
368,Maverick (1994),maverick,1994,Adventure|Comedy|Western,maverick adventure comedy western
370,Naked Gun 33 1/3: The Final Insult (1994),naked gun 33 1/3: the final insult,1994,Action|Comedy,naked gun 33 1/3: the final insult action comedy
371,"Paper, The (1994)","paper, the",1994,Comedy|Drama,"paper, the comedy drama"
372,Reality Bites (1994),reality bites,1994,Comedy|Drama|Romance,reality bites comedy drama romance
373,Red Rock West (1992),red rock west,1992,Thriller,red rock west thriller
374,Richie Rich (1994),richie rich,1994,Children|Comedy,richie rich children comedy
376,"River Wild, The (1994)","river wild, the",1994,Action|Thriller,"river wild, the action thriller"
377,Speed (1994),speed,1994,Action|Romance|Thriller,speed action romance thriller
378,Speechless (1994),speechless,1994,Comedy|Romance,speechless comedy romance
379,Timecop (1994),timecop,1994,Action|Sci-Fi|Thriller,timecop action sci-fi thriller
380,True Lies (1994),true lies,1994,Action|Adventure|Comedy|Romance|Thriller,true lies action adventure comedy romance thriller
381,When a Man Loves a Woman (1994),when a man loves a woman,1994,Drama|Romance,when a man loves a woman drama romance
382,Wolf (1994),wolf,1994,Drama|Horror|Romance|Thriller,wolf drama horror romance thriller
383,Wyatt Earp (1994),wyatt earp,1994,Western,wyatt earp western
390,Faster Pussycat! Kill! Kill! (1965),faster pussycat! kill! kill!,1965,Action|Crime|Drama,faster pussycat! kill! kill! action crime drama
393,Street Fighter (1994),street fighter,1994,Action|Adventure|Fantasy,street fighter action adventure fantasy
405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),highlander iii: the sorcerer (a.k.a. highlander: the final dimension),1994,Action|Fantasy,highlander iii: the sorcerer (a.k.a. highlander: the final dimension) action fantasy
407,In the Mouth of Madness (1995),in the mouth of madness,1995,Horror|Thriller,in the mouth of madness horror thriller
410,Addams Family Values (1993),addams family values,1993,Children|Comedy|Fantasy,addams family values children comedy fantasy
412,"Age of Innocence, The (1993)","age of innocence, the",1993,Drama,"age of innocence, the drama"
413,Airheads (1994),airheads,1994,Comedy,airheads comedy
414,"Air Up There, The (1994)","air up there, the",1994,Comedy,"air up there, the comedy"
415,Another Stakeout (1993),another stakeout,1993,Comedy|Thriller,another stakeout comedy thriller
416,Bad Girls (1994),bad girls,1994,Western,bad girls western
417,Barcelona (1994),barcelona,1994,Comedy|Romance,barcelona comedy romance
419,"Beverly Hillbillies, The (1993)","beverly hillbillies, the",1993,Comedy,"beverly hillbillies, the comedy"
420,Beverly Hills Cop III (1994),beverly hills cop iii,1994,Action|Comedy|Crime|Thriller,beverly hills cop iii action comedy crime thriller
421,Black Beauty (1994),black beauty,1994,Adventure|Children|Drama,black beauty adventure children drama
422,Blink (1994),blink,1994,Thriller,blink thriller
423,Blown Away (1994),blown away,1994,Action|Thriller,blown away action thriller
426,Body Snatchers (1993),body snatchers,1993,Horror|Sci-Fi|Thriller,body snatchers horror sci-fi thriller
427,Boxing Helena (1993),boxing helena,1993,Drama|Mystery|Romance|Thriller,boxing helena drama mystery romance thriller
428,"Bronx Tale, A (1993)","bronx tale, a",1993,Drama,"bronx tale, a drama"
429,Cabin Boy (1994),cabin boy,1994,Comedy,cabin boy comedy
431,Carlito's Way (1993),carlito's way,1993,Crime|Drama,carlito's way crime drama
432,City Slickers II: The Legend of Curly's Gold (1994),city slickers ii: the legend of curly's gold,1994,Adventure|Comedy|Western,city slickers ii: the legend of curly's gold adventure comedy western
433,Clean Slate (1994),clean slate,1994,Comedy,clean slate comedy
434,Cliffhanger (1993),cliffhanger,1993,Action|Adventure|Thriller,cliffhanger action adventure thriller
435,Coneheads (1993),coneheads,1993,Comedy|Sci-Fi,coneheads comedy sci-fi
436,Color of Night (1994),color of night,1994,Drama|Thriller,color of night drama thriller
437,Cops and Robbersons (1994),cops and robbersons,1994,Comedy,cops and robbersons comedy
438,"Cowboy Way, The (1994)","cowboy way, the",1994,Action|Comedy|Drama,"cowboy way, the action comedy drama"
440,Dave (1993),dave,1993,Comedy|Romance,dave comedy romance
441,Dazed and Confused (1993),dazed and confused,1993,Comedy,dazed and confused comedy
442,Demolition Man (1993),demolition man,1993,Action|Adventure|Sci-Fi,demolition man action adventure sci-fi
444,Even Cowgirls Get the Blues (1993),even cowgirls get the blues,1993,Comedy|Romance,even cowgirls get the blues comedy romance
